VO_ZH_Kamisato_Ayaka_Hello.ogg  ||  稻妻神里流太刀术皆传——神里绫华，参上！
请多指教哦。
VO_ZH_Kamisato_Ayaka_Chat_-_Stability.ogg  ||  像这样悠闲安稳的时光，如果再多一点就好了…我真贪心啊。
VO_ZH_Kamisato_Ayaka_Chat_-_Sword.ogg  ||  剑，就和茶一样，细细品味才能理解其中风雅。
VO_ZH_Kamisato_Ayaka_Chat_-_Zoning_Out.ogg  ||  这就是旅行者平日里的生活么，呵，感觉又多了解了你一些。
VO_ZH_Kamisato_Ayaka_Chat_-_Famous_Sword.ogg  ||  刀剑抱业，名工怀宝。
VO_ZH_Kamisato_Ayaka_When_It_Rains.ogg  ||  请随我一同避雨吧。
VO_ZH_Kamisato_Ayaka_When_Thunder_Strikes.ogg  ||  大御所大人…是在诉说什么吗？
VO_ZH_Kamisato_Ayaka_When_It_Snows.ogg  ||  「雪霁银妆素，桔高映琼枝。」嗯…美景当前，只差一壶茶与之相衬呢。
VO_ZH_Kamisato_Ayaka_When_the_Sun_Is_Out.ogg  ||  风和日丽，要去哪边走走么？
VO_ZH_Kamisato_Ayaka_Good_Morning.ogg  ||  早安，旅行者。能像这样在清晨见你一面，我会忍不住觉得…接下来将是顺利的一天。
VO_ZH_Kamisato_Ayaka_Good_Afternoon.ogg  ||  午安。茶饭之后，难免略有困倦。是否有兴致下盘棋提神呢？
VO_ZH_Kamisato_Ayaka_Good_Evening.ogg  ||  晚上好。夜风舒畅，会是一个良宵呢。
VO_ZH_Kamisato_Ayaka_Good_Night.ogg  ||  「若知是梦何须醒，不比真如一相会。」
VO_ZH_Kamisato_Ayaka_About_Kamisato_Ayaka_-_Yashiro_Commission.ogg  ||  「稻妻幕府社奉行神里家」，位于稻妻名门中的笔头之格位。作为三奉行之一，掌管祭祀活动与人文艺术。自从双亲过世之后，族内的大小事务，便由兄长和我承担了。
VO_ZH_Kamisato_Ayaka_About_Kamisato_Ayaka_-_Position.ogg  ||  很多人因为我是「白鹭公主」，是社奉行神里家的大小姐而敬重我。他们所敬重的，只是我所身处的地位，与绫华我是怎样的人并无关系…
所以我想，能真正走近我的，或许只有…
VO_ZH_Kamisato_Ayaka_About_Kamisato_Ayaka_-_Aspiration.ogg  ||  如今的我，依旧想成为值得大家信任的人。不过，鼓舞我的原因，已不再是肩上的责任或他人的期待。而是因为，你也是这样的人啊。
VO_ZH_Kamisato_Ayaka_About_Us_-_Teahouse.ogg  ||  如你有空，我们移步木漏茶室如何？在这样恬静的日子，略加交流茶艺心得，想来是颇具雅趣的。
VO_ZH_Kamisato_Ayaka_About_Us_-_Festivals.ogg  ||  如果有机会的话，我想试着和你共度异国的节日。需要遵循的当地风俗、礼仪规范，还有伴手礼的推荐，可以麻烦你…一一指导我吗？
VO_ZH_Kamisato_Ayaka_About_the_Vision.ogg  ||  「神之眼」，即是胸怀大志之人所获的印绶。如果问我有什么志向的话…这个还是保密吧，只是一个微不足道的梦想罢了。
VO_ZH_Kamisato_Ayaka_Something_to_Share.ogg  ||  试问，常说「禅茶一味」，又说「剑禅一如」，那么剑和茶，又是什么关系呢？
VO_ZH_Kamisato_Ayaka_Interesting_Things.ogg  ||  你在城中，见过枯萎的樱花树么？这种「枯」之美，让我想到春天盛开之景。不过别人似乎并不这么想，不再开花的樱树会被移走…就算一次也好，真想看到它再次开放。
VO_ZH_Kamisato_Ayaka_About_Thoma.ogg  ||  托马是我很重要的朋友，他的开朗和阳光总是感染着我。某种意义上来说，他就像是我的另一个兄长一样，已经成为了「神里家」的一员。
VO_ZH_Kamisato_Ayaka_About_Kujou_Sara.ogg  ||  为「天领奉行」工作的九条裟罗…她总是一脸严肃。我和她曾经起过几次争端，不过她本质是忠义之士，这点无可否认。
