VO_Kamisato_Ayaka_Hello.ogg  ||  Master of Inazuma Kamisato Art Tachi Jutsu — Kamisato Ayaka, present!
Delighted to make your acquaintance.
VO_Kamisato_Ayaka_Chat_-_Stability.ogg  ||  I only wish life could be as leisurely as this a little more often... How greedy of me.
VO_Kamisato_Ayaka_Chat_-_Sword.ogg  ||  A blade is like a tea-leaf. Only those who sample it many times can appreciate its true qualities.
VO_Kamisato_Ayaka_Chat_-_Zoning_Out.ogg  ||  So this is a day in the life of the Traveler... Hehe, I'm learning more about you all the time.
VO_Kamisato_Ayaka_Chat_-_Famous_Sword.ogg  ||  A blade embraces its duty as a jeweler cherishes their gems.
VO_Kamisato_Ayaka_When_It_Rains.ogg  ||  Come with me, let us find shelter from the rain.
VO_Kamisato_Ayaka_When_Thunder_Strikes.ogg  ||  Her Excellency... What is she trying to communicate?
VO_Kamisato_Ayaka_When_It_Snows.ogg  ||  "Snow that once adorned the world in silver, thaws to reveal the gleam of the fruit upon frost-laden branches." *sigh* How picturesque! Only some tea would make this setting more complete.
VO_Kamisato_Ayaka_When_the_Sun_Is_Out.ogg  ||  There's a pleasant breeze and glorious sunshine... So, where shall we go for a walk?
VO_Kamisato_Ayaka_Good_Morning.ogg  ||  Oh, good morning, Traveler. ...Whenever I see you in the morning, somehow, it makes me feel like... today is going to be a good day.
VO_Kamisato_Ayaka_Good_Afternoon.ogg  ||  Good afternoon. It is normal to feel drowsy after lunch, might I interest you in a game of Go to stimulate the mind?
VO_Kamisato_Ayaka_Good_Evening.ogg  ||  Greetings. An auspicious breeze blows this evening. Tonight will be peaceful.
VO_Kamisato_Ayaka_Good_Night.ogg  ||  "Was it one's thoughts that drew him to my dreams? Had I known it a dream, one would not have awakened." Hehe, I love that poem.
VO_Kamisato_Ayaka_About_Kamisato_Ayaka_-_Yashiro_Commission.ogg  ||  "Inazuma Shogunate, Yashiro Commission, Kamisato Clan." Widely known as one of the most distinguished clans in all of Inazuma, it is the branch of the Tri-Commission that manages ceremonial and cultural affairs. Since my parents passed, Brother and I assumed responsibility for all clan matters, big and small.
VO_Kamisato_Ayaka_About_Kamisato_Ayaka_-_Position.ogg  ||  Many look up to me as the Shirasagi Himegimi and as the daughter of the Kamisato Clan. But the object of their respect has everything to do with my position, and nothing at all to do with me, Ayaka. It makes me think that... maybe, there is only one person I know who is truly able to get close to me...
VO_Kamisato_Ayaka_About_Kamisato_Ayaka_-_Aspiration.ogg  ||  Today, as in the past, I aspire to be somebody whom everyone can trust. But what motivates me is no longer the responsibilities I shoulder, or the expectations of other people. Rather, it is the fact that you are this kind of person, too.
VO_Kamisato_Ayaka_About_Us_-_Teahouse.ogg  ||  If you've got time, shall we take a walk to Komore Teahouse? To chat about the art of tea on a pleasant day like this seems like the sophisticated thing to do.
VO_Kamisato_Ayaka_About_Us_-_Festivals.ogg  ||  If I ever have the chance, I would very much like to experience the festivities of another nation with you one day. Though, I will need some guidance on local customs and etiquette, and advice on what gifts to bring... Could I trouble you to give me some guidance?
VO_Kamisato_Ayaka_About_the_Vision.ogg  ||  Visions are a seal of approval for those who are most ambitious. As for my own ambitions, they shall remain private for now. It is nothing more than an insignificant dream.
VO_Kamisato_Ayaka_Something_to_Share.ogg  ||  It is said that "the flavor of Zen is that of tea," and it is also said that "the power of Zen is that of the blade." One might then ask: What does that say about the relationship between tea and the blade?
VO_Kamisato_Ayaka_Interesting_Things.ogg  ||  Have you ever noticed the withering sakura tree in the city? For me, there is a beauty to the withering, it brings back fond memories of the spring. Most people don't agree — sakura trees that will never bloom again are removed. But when I look at a tree, all I want is to see it blossom again... just one more time...
VO_Kamisato_Ayaka_About_Thoma.ogg  ||  Thoma is a dear friend. He always lifts my spirits with his sunny disposition. In a sense, I think of him as another brother, and as a full member of the Kamisato Clan.
