VO_JA_Yoimiya_Hello.ogg  ||  「長野原」へよう来てくれたな！うちは宵宮、何でも言うてや～！
うん？串カツの盛り合わせと玉子焼き…って、ちゃうちゃう、うちは飲食店ちゃうでぇ、花火屋やからな！そや、キラキラーっとした、パッと咲く花火のことや！
VO_JA_Yoimiya_Chat_-_Fireworks.ogg  ||  花火はパッと消えてまうけど、友情は一生もんや。
VO_JA_Yoimiya_Chat_-_Telling_Stories.ogg  ||  暇やったら、何か話したるで！
VO_JA_Yoimiya_Chat_-_Goldfish.ogg  ||  金魚飼ったことある？大人しゅうて、めっちゃ可愛ええんや。
VO_JA_Yoimiya_When_It_Rains.ogg  ||  ひぃ～、花火が濡れてまう！どっかに隠れな！うぅ、間に合わへん！
VO_JA_Yoimiya_When_It_Snows.ogg  ||  ははっ、雪球をギュッと、ほれ——
VO_JA_Yoimiya_When_the_Sun_Is_Out.ogg  ||  全身ポカポカで気持ちええわぁ～、浮いとるみたい。
VO_JA_Yoimiya_When_the_Wind_Is_Blowing.ogg  ||  すっごい風やなぁ——声が押し戻されそうや——！
VO_JA_Yoimiya_Good_Morning.ogg  ||  すぅ…はぁ——おはようさん、朝の空気は清々しくて気持ちええなぁ、深呼吸して頭もすっきりや。
VO_JA_Yoimiya_Good_Afternoon.ogg  ||  お昼の時間やな。ええっ…今日の卵、黄身が二つやん。えへへ～、今日のうちツイてるんやない？
VO_JA_Yoimiya_Good_Evening.ogg  ||  やっと花火を見るのにちょうどええ時間になったな。空でも地上でも綺麗に咲かしたるで…ははっ、冗談や！安全にはちゃーんと気ぃつけるさかい。
VO_JA_Yoimiya_Good_Night.ogg  ||  そもさん——！花火を見終わった後、その一日の最後には何が待っとる？ふふん、正解は——夢の中でも花火が見れる、でした～！ほな、さいなら！
VO_JA_Yoimiya_About_Yoimiya_-_Family_Matters.ogg  ||  うちの父ちゃんは耳が遠くてな、昔から何を言うても笑うてばっかやった。だから、小っちゃい頃は自分の言うとることがどれも面白いんやろなと思っとった、ずーっと一人で喋り続けとったわ…実際は、よう聞こえへんから誤魔化すように笑うとっただけやのに…せやけど、父ちゃんが笑うてくれるなら、うち、これからも喋り続けるで。
VO_JA_Yoimiya_About_Yoimiya_-_Talking.ogg  ||  「口は災いの元」ゆうけど、心配あらへん。言葉に込もった気持ちは嘘をつかへんもん。間違ったことを言うて誤解されても、それを説明すればええんや。なんも言わんかったら、相手も理解のしようがあらへん。やないと、心も離れてまう。
VO_JA_Yoimiya_About_Us_-_Companionship.ogg  ||  自分一人で何かするよりも…誰かと一緒に何かやる方がええ。例えばあんたと一緒なら、風景を見ても、缶蹴りをしても、めっちゃ楽しい。きっと、あんたと話すのが飽きひんからやろな。
VO_JA_Yoimiya_About_the_Vision.ogg  ||  内緒なんやけど、実はなぁ、初めて「神の目」をもろた時、火打ち石やと思うて使っとったんや。花火に火付けたり、お湯を沸かしたりしとった。それから納屋に置きっぱなしにしとったんやけど、それを父ちゃんが見つけてな、えらいもんやから大事にしい言われた。はは、神様が回収せえへんかったのが不思議や。
VO_JA_Yoimiya_Something_to_Share_-_Lantern_Rite.ogg  ||  知っとる？璃月の海灯祭で打ち上がる花火はな、大体がうちで作ったもんなんや。注文通り作った後、北斗の姉ちゃんが船で届けとる。今は鎖国で輸出も制限されとるけど…祭りに花火があらへんのはあかんやろ。
