VO_KO_Cyno_Hello_-_The_Past.ogg  ||  난 사이노. 한때 「대풍기관」이었고, 지금은 내 힘으로 죄악을 심판하고 있어. 너도 규칙과 정의를 위해 싸우고 있다면, 내 힘을 빌려줄게
VO_KO_Cyno_Hello_-_The_Present.ogg  ||  난 아카데미아의 「대풍기관」 사이노야. 규칙을 수호하고 죄악을 심판하는 것이 내 의무지. 앞으로의 여행에서 내가 널 안전하게 지킬 거야
VO_KO_Cyno_Chat_-_Weighing_the_Heart.ogg  ||  선과 악은 결국 그 무게를 저울질하게 되어있어
VO_KO_Cyno_Chat_-_Luck_of_the_Draw.ogg  ||  운이 대결의 승패를 결정지을 수는 있지. 하지만 그 영향이 계속되진 않아
VO_KO_Cyno_Chat_-_Doubt.ogg  ||  나도 가끔은 분위기를 좀 풀어주고 싶은데, 어떤 농담을 해야 사람들을 웃길 수 있을지 영 감이 안 잡혀
VO_KO_Cyno_When_It_Rains.ogg  ||  또 비가 오는군…
VO_KO_Cyno_When_Thunder_Strikes.ogg  ||  번개는 신이 인간에게 내리는 심판이라는 전설이 있어
VO_KO_Cyno_When_It_Snows.ogg  ||  난 눈 내린 후의 세상이 좋아. 조용하지만 쥐 죽은 듯이 고요한 건 아니잖아
VO_KO_Cyno_When_the_Sun_Is_Out.ogg  ||  햇빛은 결국 모든 곳을 비출 거야
VO_KO_Cyno_When_the_Wind_Is_Blowing.ogg  ||  바람이 세니까… 조심해
VO_KO_Cyno_In_the_Desert.ogg  ||  익숙한 풍경이야…
VO_KO_Cyno_Good_Morning.ogg  ||  기운 내, 출발하자
VO_KO_Cyno_Good_Afternoon.ogg  ||  점심 준비할까? 미리 말해두는데, 맛은 보장 못해
VO_KO_Cyno_Good_Evening.ogg  ||  내가 했던 말 기억해? 밤에는 늘 위험이 도사리고 있으니 항상 경계해야 돼
VO_KO_Cyno_Good_Night.ogg  ||  좋은 밤이야. 근처에서 범죄자들이 활동하고 있으니 가서 처리해야겠어
VO_KO_Cyno_About_Cyno_-_Unfunny_Jokes.ogg  ||  사막을 지나던 한 여행자가 있었는데, 너무 목이 말라서 물 슬라임을 만나게 해달라고 기도했어. 그런데 마침 배가 고팠던 물 슬라임도 혼자 다니는 여행자를 만나게 해달라고 기도하고 있었던 거야. 응? 표정이 왜 그래, 재미없어?
VO_KO_Cyno_About_Cyno_-_Desert_Strolls.ogg  ||  가끔 밤에 사막을 산책하곤 해. 차갑고 메마른 바람이 머리를 맑게 해주거든
VO_KO_Cyno_About_Us_-_TCG_Duel.ogg  ||  나랑 「일곱 성인의 소환」 한 판 할래? 이번에 새로 짠 덱을 보여줄게
VO_KO_Cyno_About_Us_-_The_Present.ogg  ||  과거는 돌이킬 수 없고 미래는 예측할 수 없으니, 난 이 순간을 소중히 여기고 있어
VO_KO_Cyno_About_the_Vision.ogg  ||  내 몸에 깃들어 있는 사람이 아닌 존재와 나에게 향한 마신의 눈길은 모두 내가 신의 총애를 받고 있다는 걸 보여주지. 하지만 난 내 신념을 바꿀 생각은 없어. 그저 책임을 다해 내가 해야 할 일을 해나갈 거야
VO_KO_Cyno_Something_to_Share_-_Lust_for_Knowledge.ogg  ||  「지나친 욕망은 재앙을 불러일으킨다」라는 말은 누구나 알고 있어. 하지만 「지식욕」에 대해선 다들 좋은 면만 논하려고 하지…. 난 그것도 일종의 욕망이니 반드시 통제해야 한다고 생각해
VO_KO_Cyno_Something_to_Share_-_Solemn_Respect.ogg  ||  임무를 수행할 땐 내가 내린 판단 하나가 다른 사람의 운명을 완전히 바꿔버릴 수도 있어. 그래서 「풍기관」이라는 이 직업에 대한 경외감을 유지하려고 노력 중이지. 내가 지식과 힘을 대할 때처럼…
VO_KO_Cyno_Interesting_Things.ogg  ||  난 사막에서 자라는 관목이 좋아. 사막은 죽음의 상징이고, 모든 문명은 모래바람에 덮여버리지. 하지만 이 황량한 땅에도 싹을 틔우고 살아가는 생명이 있어. 가끔은 이들의 강인함에 나도 놀라고는 해
VO_KO_Cyno_About_Tighnari_-_Knowledge.ogg  ||  타이나리는 내가 봤던 다른 학자와는 달라. 그 역시 다른 학자들처럼 지식을 갈망하지만, 절대 선을 넘지 않지. 어떤 학자들은 자신을 「실험실의 신」이라고 생각하지만, 타이나리는 그렇지 않아. 그는 모든 생명을 똑같이 존중해. 그가 아카데미아의 초빙을 거절했다는 얘길 들었을 때 나도 그의 편에 섰어
VO_KO_Cyno_About_Tighnari_-_Jokes.ogg  ||  예전에 타이나리가 밥 먹을 땐 농담하지 말라고 한 적이 있어. 하나도 안 웃기다면서 말이야. 난 그 충고를 한 귀로 흘린 뒤, 꾹꾹 눌러 참았던 농담 세 개를 연거푸 했어. 이게 왜 웃긴 건지 설명까지 다 끝내고 나니까… 밥이 벌써 다 식었더라고…
VO_KO_Cyno_About_Collei.ogg  ||  전에 그 애 몸속에 있는 마신의 잔해를 봉인해줬는데, 봉인 과정이 엄청난 고통을 준 모양이야. 그때의 고통은 죽음보다 더 무서웠을지도 몰라. 하지만 콜레이는 그걸 견뎌냈지. 정말 대단해
VO_KO_Cyno_About_Alhaitham.ogg  ||  난 너무 똑똑한 사람을 그리 좋아하지 않아. 이들은 자신이 뭐든 통제할 수 있다고 생각해서 종종 위험한 일을 벌이곤 하거든. 그래도 알하이탐은 상대적으로 안정적인 편이라 대부분의 상황을 통제하고 위험을 가라앉힐 능력이 있어
VO_KO_Cyno_About_Kaveh.ogg  ||  타이나리와 콜레이가 직접 말한 건 아니지만, 그들이 교환한 눈빛이 모든 걸 설명했어. 카베의 경험담이 내가 준비한 농담보다 훨씬 재미있었다는 거겠지. 내 생각은 어떠냐고? 난 그런 이야기를 듣고 웃을 수 있다는 사실이 더 웃긴 것 같은데
