VO_KO_Nilou_Hello.ogg  ||  안녕, 난 주바이르 극장의 닐루라고 해. 오늘은 이 춤을 준비했는데, 한눈팔지 말고 지켜봐 줘. 그럼 시작할게——
VO_KO_Nilou_Chat_-_Practice.ogg  ||  먼저 이렇게 하고… 다음 동작은… 이렇게 하자, 응응
VO_KO_Nilou_Chat_-_Sleepiness.ogg  ||  심호흡을 한 다음 풍선을 크게 불어서 졸음을 안에다 넣고, 후——하고 날려봐
VO_KO_Nilou_Chat_-_Rest.ogg  ||  이렇게 여유로운 날도 나쁘지 않아, 정말 한가하네
VO_KO_Nilou_When_It_Rains.ogg  ||  날씨는 기분과도 같아. 가끔 우중충해지지만 조급할 필요가 없어. 비가 내리고 나면 하늘은 더 맑아지니까
VO_KO_Nilou_When_Thunder_Strikes.ogg  ||  번개 소리가 조금 무섭네. 혹시 너도 겁나? 내가 신기한 방법 하나 알려줄까?
VO_KO_Nilou_When_It_Snows.ogg  ||  어? 와——눈이다. 들어봐, 눈의 속삭임이 들려. 회전하는 눈송이를 보고 있으면 마치 요정이 춤추고 있는 것 같지 않아?
VO_KO_Nilou_When_the_Sun_Is_Out.ogg  ||  하늘이 맑은 날에… 따뜻한 햇볕을 쬐면, 음, 잠이 솔솔 오지…
VO_KO_Nilou_When_the_Wind_Is_Blowing.ogg  ||  괜찮아? 모래바람을 조심해
VO_KO_Nilou_Good_Morning.ogg  ||  좋은 아침. 음? 왜 그렇게 뚫어지게 봐…? 머, 머리가 눌렸나? 으아, 보지 마. 바로 정리할게
VO_KO_Nilou_Good_Afternoon.ogg  ||  흠… 으음… 점심에 빵을 먹을까 밥을 먹을까? 아니면 으깬 콩이 좋으려나?
VO_KO_Nilou_Good_Evening.ogg  ||  좋은 밤이야. 오늘 밤에 주바이르 극장에서 공연이 있는데, 표 몇 장 줄까?
VO_KO_Nilou_Good_Night.ogg  ||  자기 전에 모든 고민을 털어버려야 푹 잘 수 있어. 너만 괜찮다면 내가 고민을 다 들어줄게
VO_KO_Nilou_About_Nilou_-_Body_Language.ogg  ||  가끔은 말보다 춤이 감정을 더 쉽게 표현할 수 있어. 무슨 말을 해야 할지 모르겠을 땐 춤을 춰봐
VO_KO_Nilou_About_Nilou_-_Dance_and_Wisdom.ogg  ||  지식을 탐구하려면 엄청난 재능이 필요해. 필사적으로 노력해도 성과가 없으면 결국 지치고 낙담하게 되지…. 하지만 춤은 달라. 잘 알지 못해도 구경은 할 수 있잖아. 이러한 몸짓을 통해 예술의 아름다움과 가치를 느낄 수 있다면 정말 기쁠 거야
VO_KO_Nilou_About_Us_-_Dealing_with_Anger.ogg  ||  가슴이 답답해? 화를 삭이는 건 좋지 않아. 자, 나를 따라 해봐. 먼저 오른손으로 앞에 커다란 원을 그린 다음, 두 손으로 가슴속에서 기분 나쁜 일들을 몽땅 꺼내서 원 안에 집어넣는 거야. 그리고 있는 힘껏 던져버려——어때? 마음이 좀 편해졌니?
VO_KO_Nilou_About_Us_-_Going_on_Adventures.ogg  ||  수메르성을 벗어나 본 적이 없지만… 너와 같이 모험을 떠나고 싶어. 낯선 곳에 가면 잘 적응해 볼게…. 음, 이나즈마의 모래에서는 갑자기 엄청 큰 모래 벌레가 튀어나오는 일이 없다는 게 사실이야?
VO_KO_Nilou_About_the_Vision.ogg  ||  내 신의 눈은 첫 무대에서 춤을 출 때 얻은 거야. 신이 내 관중이 되었던 걸 보면, 분명 인간의 예술이 아름답다고 생각하신 거겠지?
VO_KO_Nilou_Something_to_Share.ogg  ||  노력했는데도 결과가 없는 건 이상한 일이 아니야. 내가 아무리 노력해도 명론파의 지식을 이해할 수 없는 것처럼 말이야. 그럴 때는 머리를 한번 흔들어주고 방향을 전환해 주면 돼
VO_KO_Nilou_Interesting_Things_-_Dance_of_the_Crystalflies.ogg  ||  수정 나비는 색이 다양해서 정말 예뻐. 호기심을 이기지 못해 손을 뻗어 만지려고 하면 아름답고 빠른 춤을 추며 너에게서 멀어질 거야. 나도 날 수 있다면 수정 나비의 춤을 배울 수 있을 텐데
VO_KO_Nilou_Interesting_Things_-_Padisarahs.ogg  ||  화신(꽃의 신)님이 춤을 추시면 그분이 밟은 땅에는 진정한 파디사라가 활짝 피어났다고 해. 상상만으로도 정말 아름다워. 그 풍경을 직접 볼 수 있다면 얼마나 좋을까?
VO_KO_Nilou_About_Cyno.ogg  ||  아카데미아 사람은 다가가기가 꺼려져. 춤과 노래 같은 예술을 안 좋게 보거든. 그 사람들은 스트레스를 어떻게 푸는지 종종 생각하곤 해. 음… 사이노는 「일곱 성인의 소환」을 한다고? 뭔가 상상이 안 돼
VO_KO_Nilou_About_Tighnari.ogg  ||  아주 훌륭한 식물학자라고 들었어. 버섯을 구분하는 능력도 정말 뛰어날 거야. 그럼 독버섯을 먹을 일은 없겠지…? 부럽다
VO_KO_Nilou_About_Collei.ogg  ||  가끔 내 공연을 보러오는데 정말 친절한 숲의 견습 순찰자야. 나한테 길을 잃어버리지 말라고 당부까지 하던데, 왜 그런 걸까? 난 길을 잃은 적이 한 번도 없는걸
VO_KO_Nilou_About_Kaveh.ogg  ||  그 사람이 아름다운 알카자르자레궁을 지었다고 들었어. 그런 작품을 만들 수 있다는 건 정말 즐거운 일이겠지? 내가 춤을 연습할 때 사람들에게 선보일 생각을 하면 엄청 기쁘고, 동기부여가 되는 것처럼 말이야
VO_KO_Nilou_About_Dehya.ogg  ||  근래에 이렇게 많은 일들이 있었다니 정말 믿기지 않아. 데히야와 두냐르자드에게 적절한 선물을 하고 싶은데… 도저히 결정을 못 내리겠어. 바자르 친구들이 추천해 준 것을 다 주려고 하니 너무 많고, 어떻게 하면 좋을까?
VO_KO_Nilou_About_Dori.ogg  ||  통이 큰 도리 상인도 내 춤을 본 적이 있어. 한 번은 그 상인이 주바이르 씨와 무슨 이야기를 나누었는데, 그 뒤로는 안 오더라고. 도대체 무슨 이야기를 했을까? …어? 날 데리고 티바트 순회공연을 하려던 걸 수도 있다고? 그럴 리가, 주바이르 씨가 대신 거절해 주셨을 거야… 거절하셨겠지…?
VO_KO_Nilou_About_Lesser_Lord_Kusanali.ogg  ||  바자르 사람들은 다들 작은 쿠사나리 화신님을 좋아해. 그분이 내가 추는 화신(꽃의 신)의 춤을 어떻게 평가하실지 너무 궁금해…. 아! 아니다, 역시 그만두는 게 좋겠어. 막상 보러 오시면 긴장해서 아무것도 못 할 거야…
VO_KO_Nilou_More_About_Nilou_-_01.ogg  ||  음——아! 미안해, 뭘 먹으러 갈지 고민한다고 잠시 다른 생각을 했네…. 헤헤, 내 도움이 필요하니?
VO_KO_Nilou_More_About_Nilou_-_02.ogg  ||  선생님이 춤추는 요령을 많이 가르쳐주셨지만, 가장 중요한 건 춤을 출 때 감정을 몰입하는 거라고 하셨어. 그래야 사람들에게 감동을 줄 수 있거든. 느끼는 게 있어야 표현을 할 수 있잖아. 아름다움을 표현하고 싶으면 직접 아름다움 그 자체가 되는 거야
VO_KO_Nilou_More_About_Nilou_-_03.ogg  ||  가끔 관중들이 편지를 보내오는데, 나의 춤을 보고 힘을 얻었다고 하는 사람들이 있어. 주바이르 극장 사람들에게 이 기쁨을 공유해 줄 거야. 관중들에게 보이는 건 무대 위의 한 사람이겠지만, 내게 있어 이건 모두의 노력으로 얻은 결실이거든
VO_KO_Nilou_More_About_Nilou_-_04.ogg  ||  바자르에서 가끔 서커스 공연 같은 걸 해. 공을 계속 던지고 받고 하는 그런 거 말이야. 나도 한번 해봤는데 공이 계속 손이 아닌 머리 위로 떨어지는 거 있지…. 그때 주바이르 씨와 사람들이 얼마나 웃던지. 내 신체 능력이 엄청 뛰어난 줄 알았나 봐. 헤헤, 약점을 들켜버렸지 뭐야
VO_KO_Nilou_More_About_Nilou_-_05.ogg  ||  전에 누가 나보고 따스한 햇볕 아래의 오아시스 같다면서 날 보면 마음이 따뜻해지고 힐링이 된다고 했어. 기쁘긴 했지만 내가 추구하는 건, 내가 사람들에게 보여주고 싶은 가치는 그 정도에 그치지 않아. 하지만 너랑 오래 알고 지내다 보니 누군가의 관심과 보살핌을 받는 게 이런 느낌이라는 걸 알았고, 지금은… 지금은 네가 그 비유에 더 어울린다고 생각해
VO_KO_Nilou_Hobbies.ogg  ||  춤이 내 삶이고, 내 삶이 곧 춤이다…. 어떤 말이 더 좋을까? 후우, 역시 이런 논리적인 문제는 나한테 어울리지 않아. 아무튼 난 계속해서 춤을 출 거야. 나의 공연으로 더 많은 사람이 춤이라는 예술의 아름다움을 느낄 수 있도록
VO_KO_Nilou_Troubles.ogg  ||  어떤 버섯에 독이 있고 어떤 버섯에 독이 없는지 아직도 모르겠어…. 색이 화려한 버섯이든, 아주 평범한 버섯이든 다 독이 있을 수 있다던데. 흐음, 뭔가 알 것 같다가도 전혀 모르겠어…
VO_KO_Nilou_Favorite_Food.ogg  ||  달콤한 디저트는 사람을 기분 좋게 해. 대다수의 수메르 사람들은 디저트를 좋아하지! 너도 한번 맛볼래? 내가 하나씩 소개해 줄게
VO_KO_Nilou_Least_Favorite_Food.ogg  ||  버섯류는 좀 그래. 무섭거든. 보자마자 도망가고 싶은 그런 무서움이 아니라 어, 어렸을 때 독버섯을 잘못 먹어서 며칠 동안 앓아누운 적이 있거든…. 수메르의 버섯 요리를 먹기 전엔 꼭 독이 없는지부터 확인해야 해!
VO_KO_Nilou_Receiving_a_Gift_-_01.ogg  ||  음식이 혀끝에서 춤을 춘다는 게 이런 느낌이구나…. 정말 신기해!
VO_KO_Nilou_Receiving_a_Gift_-_02.ogg  ||  고마워. 내가 춤을 끊임없이 연습하는 것처럼, 이 음식에도 너의 엄청난 노력이 담겨 있겠지?
VO_KO_Nilou_Receiving_a_Gift_-_03.ogg  ||  미안해, 요즘 내가 입맛이 없어서 그런 거니 너무 신경 쓰지 마
VO_KO_Nilou_Birthday.ogg  ||  저기… 생일 축하해! 요즘 새로운 춤을 배워서 너에게 보여주고 싶은데. 응? 긴장되냐고? 후——들켜버렸네. 그게, 내 마음과 기교를 융합시키려고 하니까 점점 더 어려워지는 것 같아서…. 아무튼 아름다움과 즐거움이 항상 네 곁에 있길 바랄게
VO_KO_Nilou_Feelings_About_Ascension_-_01.ogg  ||  어? 이건 무슨 느낌이지…?
VO_KO_Nilou_Feelings_About_Ascension_-_02.ogg  ||  몸이 풀리면 실력을 더 잘 발휘할 수 있을 거야
VO_KO_Nilou_Feelings_About_Ascension_-_03.ogg  ||  커다란 바람 슬라임 위에 올라탄 것처럼 온몸이 가볍게 느껴져
VO_KO_Nilou_Feelings_About_Ascension_-_04.ogg  ||  이유는 모르겠지만 너랑 있는 게 좋아. 마치 가슴속에서 나비가 튀어나올 것만 같은 기분이라고 할까나… 널 위해 춤 한 곡 보여줄게
VO_KO_Nilou_Elemental_Skill_1_01.ogg  ||  잘 봐~
VO_KO_Nilou_Elemental_Skill_1_02.ogg  ||  공연 준비 끝
VO_KO_Nilou_Elemental_Skill_1_03.ogg  ||  전력을 다할게
VO_KO_Nilou_Elemental_Burst_01.ogg  ||  물보라와 함께 춤춰 봐
VO_KO_Nilou_Elemental_Burst_02.ogg  ||  날 지켜봐 줘
VO_KO_Nilou_Elemental_Burst_03.ogg  ||  이 춤을 너에게 바칠게
VO_KO_Nilou_Sprint_Start_01.ogg  ||  
VO_KO_Nilou_Deploying_Wind_Glider_01.ogg  ||  
VO_KO_Nilou_Opening_Treasure_Chest_01.ogg  ||  다 네 거야
VO_KO_Nilou_Opening_Treasure_Chest_02.ogg  ||  내가 담는 걸 도와줄게
VO_KO_Nilou_Opening_Treasure_Chest_03.ogg  ||  와~ 뜻밖의 수확이네
VO_KO_Nilou_Low_HP_01.ogg  ||  윽, 내 걱정은 마…
VO_KO_Nilou_Low_HP_02.ogg  ||  정말 골치 아프네…
VO_KO_Nilou_Low_HP_03.ogg  ||  심호흡을 해야겠어…
VO_KO_Nilou_Ally_at_Low_HP_01.ogg  ||  내가 왔으니 안심해
VO_KO_Nilou_Ally_at_Low_HP_02.ogg  ||  내가 막아줄게!
VO_KO_Nilou_Fallen_01.ogg  ||  커튼콜은… 아직인데…
VO_KO_Nilou_Fallen_02.ogg  ||  더 이상… 춤을 출 수 없는 건가…?
VO_KO_Nilou_Fallen_03.ogg  ||  아름다운 것이 영원하기를…
VO_KO_Nilou_Light_Hit_Taken_01.ogg  ||  
VO_KO_Nilou_Heavy_Hit_Taken_01.ogg  ||  앗, 중심을 잡자
VO_KO_Nilou_Heavy_Hit_Taken_02.ogg  ||  조금… 아프네
VO_KO_Nilou_Heavy_Hit_Taken_03.ogg  ||  
VO_KO_Nilou_Joining_Party_01.ogg  ||  오늘은 어디서 춤을 춰볼까?
VO_KO_Nilou_Joining_Party_02.ogg  ||  내가 도울 수 있는 일이 있니?
VO_KO_Nilou_Joining_Party_03.ogg  ||  아… 날 부른 거였구나? 금방 갈게
VO_KO_Nilou_Light_Attack_01.ogg  ||  
VO_KO_Nilou_Mid_Attack_01.ogg  ||  
VO_KO_Nilou_Heavy_Attack_01.ogg  ||  
VO_KO_Nilou_Climbing_01.ogg  ||  
VO_KO_Nilou_Climbing_Breath_01.ogg  ||  
VO_KO_Nilou_Jumping_01.ogg  ||  
